dataset,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,rmse,mae,r2
trace1.csv,0.5,True,multiplicative,0.1,22.853978237695564,16.54547119140625,-0.03900957107543945
trace1.csv,0.5,True,multiplicative,1.0,22.884300800866328,16.5926456451416,-0.041768550872802734
trace1.csv,0.5,True,multiplicative,10.0,22.812310037736477,16.568422317504883,-0.035224318504333496
trace1.csv,0.5,False,additive,0.01,39.111792336898695,33.183509826660156,-2.0430660247802734
trace1.csv,0.5,False,additive,0.1,39.111792336898695,33.183509826660156,-2.0430660247802734
trace1.csv,0.5,False,additive,1.0,39.111792336898695,33.183509826660156,-2.0430660247802734
trace1.csv,0.5,False,additive,10.0,39.111792336898695,33.183509826660156,-2.0430660247802734
trace1.csv,0.5,False,multiplicative,0.01,39.111792336898695,33.183509826660156,-2.0430660247802734
trace1.csv,0.5,False,multiplicative,0.1,39.111792336898695,33.183509826660156,-2.0430660247802734
trace1.csv,0.5,False,multiplicative,1.0,39.111792336898695,33.183509826660156,-2.0430660247802734
trace1.csv,0.5,False,multiplicative,10.0,39.111792336898695,33.183509826660156,-2.0430660247802734
trace5.csv,0.001,True,additive,0.01,70.25222068887751,57.654876708984375,-0.626375675201416
trace5.csv,0.001,True,additive,0.1,68.23724983925568,55.210960388183594,-0.5344184637069702
trace5.csv,0.001,True,additive,1.0,67.7779217716765,55.1913948059082,-0.5138306617736816
trace5.csv,0.001,True,additive,10.0,68.14442813567005,55.44965362548828,-0.5302468538284302
trace5.csv,0.001,True,multiplicative,0.01,100.60519506187292,86.05957794189453,-2.3353512287139893
trace5.csv,0.001,True,multiplicative,0.1,67.66110692728135,55.04415512084961,-0.5086170434951782
trace5.csv,0.001,True,multiplicative,1.0,67.72566805341421,55.30162048339844,-0.5114973783493042
trace5.csv,0.001,True,multiplicative,10.0,67.48261494868511,54.88252258300781,-0.5006678104400635
trace5.csv,0.001,False,additive,0.01,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.001,False,additive,0.1,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.001,False,additive,1.0,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.001,False,additive,10.0,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.001,False,multiplicative,0.01,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.001,False,multiplicative,0.1,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.001,False,multiplicative,1.0,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.001,False,multiplicative,10.0,166.3589046497061,156.9330596923828,-8.119958877563477
trace5.csv,0.01,True,additive,0.01,71.15620882739256,58.29521179199219,-0.6685006618499756
trace5.csv,0.01,True,additive,0.1,69.6527519870895,57.041805267333984,-0.5987380743026733
trace5.csv,0.01,True,additive,1.0,69.53304070727815,57.0302619934082,-0.5932474136352539
trace5.csv,0.01,True,additive,10.0,69.50658270309727,57.06010437011719,-0.592035174369812
trace5.csv,0.01,True,multiplicative,0.01,79.33348139046495,65.32539367675781,-1.0740242004394531
trace5.csv,0.01,True,multiplicative,0.1,59.07746999438534,47.207191467285156,-0.1501237154006958
trace5.csv,0.01,True,multiplicative,1.0,59.329764841045424,47.43369674682617,-0.15996801853179932
trace5.csv,0.01,True,multiplicative,10.0,59.09015143062125,47.83782196044922,-0.15061748027801514
trace5.csv,0.01,False,additive,0.01,213.58676149869402,205.7523651123047,-14.03313159942627
trace5.csv,0.01,False,additive,0.1,213.58676149869402,205.7523651123047,-14.03313159942627
trace5.csv,0.01,False,additive,1.0,213.58676149869402,205.7523651123047,-14.03313159942627
trace5.csv,0.01,False,additive,10.0,213.58676149869402,205.7523651123047,-14.03313159942627
trace5.csv,0.01,False,multiplicative,0.01,213.58676149869402,205.7523651123047,-14.03313159942627
trace5.csv,0.01,False,multiplicative,0.1,213.58676149869402,205.7523651123047,-14.03313159942627
